rownum	flightcompany	flighttype	flightclass	flightnumber	apron	stand	rdy	direction	runway
4534	MU                  	333	E                   	MU5119              	PN1                 	N107                	2018/9/11 19:20	arrive	1
4535	HU                  	738	C                   	HU7186              	PW2                 	W204                	2018/9/11 19:25	arrive	36L                 
4536	MU                  	320	C                   	MU2416              	P8                  	803	2018/9/11 19:25	depart	36L                 
4537	CZ                  	333	E                   	CZ3110              	P6                  	608	2018/9/11 19:30	depart	36L                 
4538	MU                  	321	C                   	MU2950              	PN1                 	N105L               	2018/9/11 19:35	depart	1
4539	CZ                  	788	E                   	CZ6910              	P6                  	605	2018/9/11 19:35	depart	36L                 
4540	CA                  	7M8                 	C                   	CA979               	P5                  	551	2018/9/11 19:35	depart	36R                 
4541	ZH                  	333	E                   	ZH9109              	P9                  	956	2018/9/11 19:35	arrive	1
4542	MU                  	738	C                   	MU5709              	PN12                	N123                	2018/9/11 19:35	arrive	36L                 
4543	CZ                  	333	E                   	CZ6184              	P6                  	611	2018/9/11 19:40	arrive	36L                 
4544	CZ                  	321	C                   	CZ3157              	P7                  	723	2018/9/11 19:40	arrive	36L                 
4545	3U                  	332	E                   	3U8547              	PM                  	M05                 	2018/9/11 19:40	arrive	1
4546	MU                  	321	C                   	MU5194              	P8                  	809	2018/9/11 19:40	depart	36R                 
4547	CA                  	738	C                   	CA821               	PN12                	N125                	2018/9/11 19:40	depart	36L                 
4548	CA                  	773	E                   	CA1340              	PM                  	M02                 	2018/9/11 19:45	arrive	1
4549	MU                  	320	C                   	MU5171              	P6                  	602	2018/9/11 19:50	arrive	36L                 
4550	FM                  	738	C                   	FM9103              	PW1                 	W110                	2018/9/11 19:50	arrive	36L                 
4551	MU                  	320	C                   	MU2071              	P8                  	806	2018/9/11 19:50	depart	36R                 
4552	MU                  	320	C                   	MU5197              	PN1                 	N105R               	2018/9/11 19:50	depart	36R                 
4553	CZ                  	320	C                   	CZ6267              	P7                  	732	2018/9/11 19:55	arrive	36R                 
4554	MU                  	320	C                   	MU5135              	P8                  	819	2018/9/11 19:55	arrive	36L                 
4555	CA                  	738	C                   	CA1878              	PN12                	N126                	2018/9/11 19:55	arrive	36L                 
4556	CZ                  	738	C                   	CZ3735              	P7                  	725	2018/9/11 19:55	arrive	36L                 
4557	HU                  	738	C                   	HU7116              	PW1                 	W112                	2018/9/11 20:00	arrive	36L                 
4558	CA                  	738	C                   	CA1101              	P3                  	355	2018/9/11 20:00	depart	36R                 
4559	CA                  	738	C                   	CA1601              	P5                  	562	2018/9/11 20:00	depart	1
4560	CA                  	738	C                   	CA1661              	P4                  	460	2018/9/11 20:00	depart	1
4561	CZ                  	333	E                   	CZ3190              	P8                  	807	2018/9/11 20:00	depart	36L                 
4562	BS                  	GB5                 	C                   	B602L               	P62                 	626	2018/9/11 20:00	depart	36R                 
4563	MU                  	321	C                   	MU5165              	PN12                	N122                	2018/9/11 20:05	depart	36R                 
4564	MF                  	738	C                   	MF8169              	P7                  	712	2018/9/11 20:05	arrive	36L                 
4565	JD                  	320	C                   	JD5760              	PW2                 	W202                	2018/9/11 20:05	arrive	36L                 
4566	RY                  	738	C                   	RY8887              	P7                  	722	2018/9/11 20:05	arrive	36L                 
4567	KE                  	773	E                   	KE853               	PN1                 	N108                	2018/9/11 20:05	arrive	36L                 
4568	SC                  	738	C                   	SC1152              	P3                  	358	2018/9/11 20:10	depart	1
4569	CA                  	738	C                   	CA1853              	P3                  	359	2018/9/11 20:10	depart	1
4570	CA                  	738	C                   	CA1107              	P4                  	452	2018/9/11 20:10	depart	36R                 
4571	CA                  	738	C                   	CA1106              	P5                  	556	2018/9/11 20:15	arrive	1
4572	CZ                  	789	E                   	CZ3113              	P6                  	603	2018/9/11 20:15	arrive	36L                 
4573	HU                  	7M8                 	C                   	HU7081              	PW1                 	W108                	2018/9/11 20:15	arrive	36L                 
4574	CA                  	73G                 	C                   	CA1488              	P4                  	465	2018/9/11 20:15	arrive	1
4575	CZ                  	320	C                   	CZ6932              	P2                  	253	2018/9/11 20:20	arrive	36R                 
4576	CA                  	332	E                   	CA1883              	P3                  	361	2018/9/11 20:20	depart	1
4577	MF                  	789	E                   	MF8120              	P6                  	610	2018/9/11 20:20	depart	36R                 
4578	CA                  	738	C                   	CA1525              	P4                  	453	2018/9/11 20:25	depart	1
4579	MU                  	321	C                   	MU5163              	P8                  	804	2018/9/11 20:25	depart	36R                 
4580	CA                  	738	C                   	CA1300              	PN2                 	N207R               	2018/9/11 20:25	arrive	36L                 
4581	HU                  	738	C                   	HU7681              	PW1                 	W113                	2018/9/11 20:25	arrive	36L                 
4582	BS                  	ER3                 	B                   	B3295               	P62                 	629	2018/9/11 20:30	arrive	36R                 
4583	CA                  	738	C                   	CA1281              	P3                  	352	2018/9/11 20:30	depart	36R                 
4584	CA                  	333	E                   	CA4120              	P5                  	561	2018/9/11 20:30	depart	36R                 
