rownum,flightcompany,flighttype,flightclass,flightnumber,apron,stand,rdy,direction,runway,terminal
5113,MU                  ,320,C                   ,MU2113              ,P8                  ,813,2018/9/12 19:05,arrive,18R                 ,T2
5114,CA                  ,332,E                   ,CA1314              ,P9                  ,954,2018/9/12 19:10,arrive,18L                 ,T3C
5115,MU                  ,321,C                   ,MU2118              ,P8                  ,815,2018/9/12 19:10,depart,18L                 ,T2
5116,CZ                  ,738,C                   ,CZ3654              ,P8                  ,814,2018/9/12 19:15,depart,18R                 ,T2
5117,CZ                  ,333,E                   ,CZ3115              ,P8                  ,807,2018/9/12 19:15,arrive,18R                 ,T2
5118,CZ                  ,320,C                   ,CZ3684              ,P7                  ,722,2018/9/12 19:20,depart,19,T2
5119,CA                  ,332,E                   ,CA1486              ,P4                  ,463,2018/9/12 19:25,arrive,18R                 ,T3C
5120,JD                  ,G5L                 ,B                   ,BLSM                ,PN2                 ,N213                ,2018/9/12 19:30,arrive,18R                 ,T1
5121,CZ                  ,333,E                   ,CZ3997              ,P8                  ,808,2018/9/12 19:30,depart,36L                 ,T2
5122,CZ                  ,332,E                   ,CZ3110              ,PN1                 ,N103                ,2018/9/12 19:30,depart,36L                 ,T2
5123,CA                  ,7M8                 ,C                   ,CA979               ,PM                  ,M04                 ,2018/9/12 19:35,depart,36R                 ,T3E
5124,MU                  ,738,C                   ,MU5709              ,P8                  ,805,2018/9/12 19:35,arrive,18R                 ,T2
5125,CZ                  ,332,E                   ,CZ6184              ,PN1                 ,N107                ,2018/9/12 19:40,arrive,18R                 ,T2
5126,MU                  ,321,C                   ,MU5194              ,P8                  ,802,2018/9/12 19:40,depart,36R                 ,T2
5127,CA                  ,7M8                 ,C                   ,CA821               ,P5                  ,552,2018/9/12 19:40,depart,36R                 ,T3E
5128,MU                  ,320,C                   ,MU2071              ,P8                  ,805,2018/9/12 19:50,depart,36L                 ,T2
5129,CA                  ,7M8                 ,C                   ,CA1295              ,PM                  ,M08                 ,2018/9/12 19:55,depart,36R                 ,T3C
5130,CA                  ,738,C                   ,CA1878              ,P3                  ,359,2018/9/12 19:55,arrive,1,T3C
5131,TA                  ,G5L                 ,B                   ,B3275               ,P7                  ,727,2018/9/12 20:00,depart,36L                 ,T2
5132,CZ                  ,333,E                   ,CZ3190              ,P8                  ,810,2018/9/12 20:00,depart,36L                 ,T2
5133,CA                  ,333,E                   ,CA4106              ,P5                  ,554,2018/9/12 20:00,depart,36R                 ,T3C
5134,MU                  ,320,C                   ,MU5165              ,P8                  ,813,2018/9/12 20:05,depart,36R                 ,T2
5135,MF                  ,752,D                   ,MF8169              ,P8                  ,804,2018/9/12 20:05,arrive,18L                 ,T2
5136,RY                  ,738,C                   ,RY8887              ,P8                  ,801,2018/9/12 20:05,arrive,18R                 ,T2
5137,MU                  ,321,C                   ,MU2115              ,P8                  ,814,2018/9/12 20:05,arrive,18L                 ,T2
5138,CA                  ,738,C                   ,CA1106              ,P5                  ,563,2018/9/12 20:10,arrive,19,T3C
5139,CZ                  ,789,E                   ,CZ3113              ,P8                  ,811,2018/9/12 20:15,arrive,18R                 ,T2
5140,CA                  ,73G                 ,C                   ,CA1488              ,PN12                ,N125                ,2018/9/12 20:15,arrive,1,T3C
5141,CZ                  ,321,C                   ,CZ6932              ,P7                  ,712,2018/9/12 20:20,arrive,36L                 ,T2
5142,MF                  ,788,E                   ,MF8120              ,P8                  ,809,2018/9/12 20:20,depart,36R                 ,T2
5143,CA                  ,332,E                   ,CA1715              ,P5                  ,561,2018/9/12 20:25,arrive,1,T3C
5144,MU                  ,738,C                   ,MU5711              ,P2                  ,253,2018/9/12 20:35,arrive,36L                 ,T2
5145,HU                  ,788,E                   ,HU7708              ,PW2                 ,W208                ,2018/9/12 20:35,arrive,36L                 ,T2
5146,CA                  ,738,C                   ,CA1821              ,P3                  ,358,2018/9/12 20:35,depart,1,T3C
5147,3U                  ,319,C                   ,3U8515              ,P5                  ,558,2018/9/12 20:40,arrive,19,T3C
5148,CA                  ,738,C                   ,CA1572              ,P4                  ,454,2018/9/12 20:40,arrive,19,T3C
5149,CA                  ,738,C                   ,CA1872              ,P4                  ,452,2018/9/12 20:50,arrive,1,T3C
5150,MU                  ,738,C                   ,MU5710              ,P8                  ,805,2018/9/12 20:50,depart,36L                 ,T2
5151,CA                  ,738,C                   ,CA1217              ,P4                  ,461,2018/9/12 20:55,depart,36R                 ,T3C
5152,MU                  ,321,C                   ,MU278               ,P8                  ,802,2018/9/12 20:55,arrive,36L                 ,T2
5153,CZ                  ,332,E                   ,CZ3191              ,PN1                 ,N103                ,2018/9/12 20:55,arrive,36L                 ,T2
5154,BS                  ,G5L                 ,B                   ,BMW77               ,P7                  ,727,2018/9/12 21:00,arrive,36R                 ,T2
5155,HU                  ,333,E                   ,HU7610              ,PW2                 ,W209                ,2018/9/12 21:00,arrive,36L                 ,T2
5156,CA                  ,738,C                   ,CA954               ,P4                  ,462,2018/9/12 21:00,arrive,1,T3E
5157,CA                  ,333,E                   ,CA1440              ,P5                  ,554,2018/9/12 21:00,arrive,36L                 ,T3C
5159,MU                  ,321,C                   ,MU2120              ,P8                  ,814,2018/9/12 21:05,depart,36L                 ,T2
5160,CZ                  ,320,C                   ,CZ6280              ,P8                  ,813,2018/9/12 21:05,arrive,1,T2
5161,CA                  ,320,C                   ,CA1228              ,P3                  ,360,2018/9/12 21:10,arrive,1,T3C
5162,RY                  ,738,C                   ,RY8888              ,P8                  ,801,2018/9/12 21:10,depart,36R                 ,T2
5163,CA                  ,333,E                   ,CA110               ,P9                  ,957,2018/9/12 21:15,arrive,1,T3E
5164,CZ                  ,333,E                   ,CZ6119              ,P8                  ,807,2018/9/12 21:20,depart,36L                 ,T2
5165,MF                  ,752,D                   ,MF8170              ,P8                  ,804,2018/9/12 21:25,depart,36R                 ,T2
5166,HU                  ,789,E                   ,HU7175              ,PW2                 ,W207                ,2018/9/12 21:25,depart,36L                 ,T2
5167,MU                  ,321,C                   ,MU5196              ,P8                  ,806,2018/9/12 21:25,depart,36R                 ,T2
5168,CA                  ,738,C                   ,CA1636              ,P9                  ,940,2018/9/12 21:25,arrive,1,T3C
5169,CA                  ,333,E                   ,CA1516              ,P9                  ,952,2018/9/12 21:25,arrive,1,T3C
5170,MU                  ,73G                 ,C                   ,MU5299              ,P8                  ,811,2018/9/12 21:25,arrive,36L                 ,T2
5172,CZ                  ,789,E                   ,CZ3114              ,P8                  ,811,2018/9/12 21:30,depart,36L                 ,T2
5173,HU                  ,789,E                   ,HU7803              ,PW2                 ,W205                ,2018/9/12 21:30,depart,36L                 ,T2
5174,CZ                  ,321,C                   ,CZ3188              ,P8                  ,812,2018/9/12 21:35,depart,36L                 ,T2
5175,CA                  ,738,C                   ,CA156               ,P5                  ,552,2018/9/12 21:35,arrive,1,T3E
5176,MU                  ,738,C                   ,MU2459              ,P8                  ,815,2018/9/12 21:35,arrive,36L                 ,T2
5177,HU                  ,789,E                   ,HU7163              ,PW2                 ,W210                ,2018/9/12 21:40,depart,36L                 ,T2
5178,CA                  ,738,C                   ,CA1324              ,P5                  ,560,2018/9/12 21:45,arrive,1,T3C
5179,BS                  ,G5L                 ,B                   ,B5999               ,P7                  ,728,2018/9/12 21:50,arrive,36R                 ,T2
5180,MU                  ,738,C                   ,MU5712              ,P2                  ,253,2018/9/12 21:50,depart,36L                 ,T2
5181,CA                  ,320,C                   ,CA8213              ,P5                  ,562,2018/9/12 21:55,arrive,1,T3C
5182,CA                  ,738,C                   ,CA1234              ,PM                  ,M11                 ,2018/9/12 21:55,arrive,1,T3C
5183,HU                  ,788,E                   ,HU7707              ,PW2                 ,W203                ,2018/9/12 22:00,depart,36L                 ,T2
5184,JD                  ,319,C                   ,JD675               ,P7                  ,711,2018/9/12 22:05,arrive,,T1
5185,CA                  ,73G                 ,C                   ,CA1460              ,P3                  ,356,2018/9/12 22:05,arrive,36L                 ,T3C
5186,CZ                  ,333,E                   ,CZ3105              ,P8                  ,807,2018/9/12 22:10,arrive,36L                 ,T2
5187,MU                  ,333,E                   ,MU5125              ,P8                  ,810,2018/9/12 22:10,arrive,36L                 ,T2
5188,CA                  ,319,C                   ,CA4111              ,P4                  ,451,2018/9/12 22:15,arrive,36R                 ,T3C
5189,MU                  ,320,C                   ,MU2861              ,P8                  ,821,2018/9/12 22:15,arrive,1,T2
5190,CZ                  ,320,C                   ,CZ6202              ,P8                  ,813,2018/9/12 22:15,depart,36R                 ,T2
5191,HU                  ,738,C                   ,HU7881              ,PW1                 ,W112                ,2018/9/12 22:20,arrive,36L                 ,T2
5192,CA                  ,738,C                   ,CA1464              ,PN2                 ,N206L               ,2018/9/12 22:20,arrive,36R                 ,T3C
5193,CZ                  ,738,C                   ,CZ3653              ,P7                  ,722,2018/9/12 22:20,arrive,36L                 ,T2
5194,CZ                  ,321,C                   ,CZ3184              ,P7                  ,721,2018/9/12 22:20,arrive,36L                 ,T2
5195,CA                  ,738,C                   ,CA1236              ,P4                  ,453,2018/9/12 22:25,arrive,36R                 ,T3C
5196,MF                  ,738,C                   ,MF8159              ,P8                  ,814,2018/9/12 22:25,arrive,36R                 ,T2
5197,CA                  ,738,C                   ,CA1826              ,PN2                 ,N206R               ,2018/9/12 22:25,arrive,1,T3C
5198,HU                  ,333,E                   ,HU7158              ,P8                  ,809,2018/9/12 22:25,arrive,36L                 ,T2
5199,SC                  ,738,C                   ,SC4604              ,P4                  ,459,2018/9/12 22:30,arrive,1,T3C
5200,CA                  ,321,C                   ,CA1466              ,PM                  ,M08                 ,2018/9/12 22:30,arrive,36R                 ,T3C
5201,MU                  ,73G                 ,C                   ,MU9723              ,P8                  ,818,2018/9/12 22:30,arrive,36L                 ,T2
5202,HU                  ,332,E                   ,HU7290              ,P8                  ,808,2018/9/12 22:35,arrive,36L                 ,T2
5203,MU                  ,73G                 ,C                   ,MU5300              ,P8                  ,811,2018/9/12 22:35,depart,36L                 ,T2
5204,MU                  ,738,C                   ,MU2454              ,P8                  ,815,2018/9/12 22:35,depart,36L                 ,T2
5205,CA                  ,738,C                   ,CA1862              ,P3                  ,358,2018/9/12 22:40,arrive,1,T3C
5206,ZH                  ,738,C                   ,ZH9163              ,P3                  ,351,2018/9/12 22:45,depart,36R                 ,T3C
5207,CA                  ,738,C                   ,CA1594              ,PM                  ,M04                 ,2018/9/12 22:50,arrive,36R                 ,T3C
5208,CA                  ,320,C                   ,CA8211              ,PN12                ,N126                ,2018/9/12 22:50,arrive,36L                 ,T3C
5209,CA                  ,319,C                   ,CA1262              ,P3                  ,354,2018/9/12 22:55,arrive,1,T3C
5210,MU                  ,738,C                   ,MU5713              ,P8                  ,804,2018/9/12 22:55,arrive,36L                 ,T2
5211,CA                  ,7M8                 ,C                   ,CA1294              ,P4                  ,457,2018/9/12 22:55,arrive,1,T3C
5212,HU                  ,332,E                   ,HU7706              ,PW2                 ,W205                ,2018/9/12 23:00,arrive,36L                 ,T2
5213,CZ                  ,321,C                   ,CZ3155              ,P7                  ,731,2018/9/12 23:00,arrive,36L                 ,T2
5214,CA                  ,73G                 ,C                   ,CA1626              ,PN12                ,N127                ,2018/9/12 23:00,arrive,1,T3C
5215,CZ                  ,738,C                   ,CZ6185              ,PN1                 ,N106L               ,2018/9/12 23:00,arrive,36L                 ,T2
5216,BS                  ,GB5                 ,C                   ,EJM188              ,P62                 ,628,2018/9/12 23:00,depart,1,T2
5217,CA                  ,77F                 ,E                   ,CA1054              ,PN2                 ,N209                ,2018/9/12 23:00,depart,1,T3C
5218,CZ                  ,332,E                   ,CZ3904              ,PN1                 ,N104                ,2018/9/12 23:05,arrive,36L                 ,T2
5219,MF                  ,789,E                   ,MF8141              ,PN1                 ,N105                ,2018/9/12 23:05,arrive,36L                 ,T2
5220,HU                  ,738,C                   ,HU7146              ,PW2                 ,W202                ,2018/9/12 23:10,arrive,36L                 ,T2
5221,MU                  ,738,C                   ,MU2574              ,P8                  ,812,2018/9/12 23:10,arrive,36L                 ,T2
5222,CA                  ,320,C                   ,CA1622              ,P3                  ,353,2018/9/12 23:10,arrive,36R                 ,T3C
5223,CA                  ,77F                 ,E                   ,CA056               ,PN2                 ,N210                ,2018/9/12 23:10,arrive,36R                 ,T3E
5224,8L                  ,73G                 ,C                   ,8L9937              ,PN1                 ,N101                ,2018/9/12 23:20,arrive,36L                 ,T2
5225,CA                  ,738,C                   ,CA1648              ,P3                  ,352,2018/9/12 23:20,arrive,36R                 ,T3C
5226,HU                  ,789,E                   ,HU7802              ,PW1                 ,W109                ,2018/9/12 23:25,arrive,36R                 ,T2
5227,HU                  ,788,E                   ,HU7602              ,PW2                 ,W210                ,2018/9/12 23:25,arrive,36R                 ,T2
5228,CZ                  ,321,C                   ,CZ6717              ,P7                  ,725,2018/9/12 23:25,arrive,36L                 ,T2
5229,CA                  ,738,C                   ,CA1816              ,P5                  ,556,2018/9/12 23:25,arrive,36R                 ,T3C
5230,BS                  ,GB6                 ,C                   ,TBJ91               ,PW1                 ,W113                ,2018/9/12 23:25,arrive,36R                 ,T2
5231,CZ                  ,320,C                   ,CZ6945A             ,P7                  ,711,2018/9/12 23:25,arrive,,T2
5232,OQ                  ,320,C                   ,OQ2330              ,P8                  ,819,2018/9/12 23:30,arrive,36L                 ,T2
5233,BS                  ,G28                 ,B                   ,B3272               ,P62                 ,629,2018/9/12 23:30,arrive,36L                 ,T2
5234,MU                  ,333,E                   ,MU5331              ,PN1                 ,N108                ,2018/9/12 23:30,arrive,36R                 ,T2
5235,CZ                  ,333,E                   ,CZ6160              ,PN2                 ,N209                ,2018/9/12 23:30,arrive,36L                 ,T2
5236,MU                  ,738,C                   ,MU2570              ,P8                  ,813,2018/9/12 23:35,arrive,36L                 ,T2
5237,JD                  ,319,C                   ,JD5568              ,PW1                 ,W106                ,2018/9/12 23:35,arrive,36L                 ,T1
5238,HU                  ,333,E                   ,HU7248              ,PW2                 ,W203                ,2018/9/12 23:35,arrive,36L                 ,T2
5239,HU                  ,788,E                   ,HU7178              ,P6                  ,608,2018/9/12 23:40,arrive,36R                 ,T2
5240,CZ                  ,738,C                   ,CZ3739              ,P7                  ,732,2018/9/12 23:40,arrive,36L                 ,T2
5241,CA                  ,738,C                   ,CA1682              ,P3                  ,357,2018/9/12 23:40,arrive,1,T3C
5242,JD                  ,321,C                   ,JD5220              ,PN12                ,N122                ,2018/9/12 23:45,arrive,36L                 ,T1
5243,MU                  ,320,C                   ,MU2866              ,P6                  ,610,2018/9/12 23:45,arrive,36L                 ,T2
5244,FM                  ,738,C                   ,FM9107              ,P7                  ,724,2018/9/12 23:50,arrive,36R                 ,T2
5245,JD                  ,G65                 ,B                   ,2KYCM               ,P62                 ,626,2018/9/12 23:50,arrive,36L                 ,T1
5246,CZ                  ,788,E                   ,CZ6909              ,P6                  ,603,2018/9/12 23:50,arrive,36L                 ,T2
5247,MU                  ,738,C                   ,MU2036              ,P8                  ,805,2018/9/12 23:50,arrive,36L                 ,T2
