rownum,flightcompany,flighttype,flightclass,flightnumber,apron,stand,rdy,direction,runway,terminal
4506,CA                  ,321,C                   ,CA4105              ,PN12                ,N127                ,2018/9/11 18:45,arrive,36L                 ,T3C
4507,MF                  ,789,E                   ,MF8119              ,P6                  ,610,2018/9/11 18:50,arrive,36L                 ,T2
4508,CA                  ,738,C                   ,CA1266              ,P4                  ,460,2018/9/11 18:55,arrive,1,T3C
4509,MU                  ,320,C                   ,MU2832              ,P8                  ,802,2018/9/11 18:55,depart,36R                 ,T2
4510,CA                  ,738,C                   ,CA1693              ,P5                  ,553,2018/9/11 19:00,depart,1,T3C
4511,MU                  ,320,C                   ,MU2073              ,P8                  ,813,2018/9/11 19:00,depart,36R                 ,T2
4512,HU                  ,789,E                   ,HU7976              ,PW2                 ,W205                ,2018/9/11 19:00,arrive,1,T2
4513,HU                  ,789,E                   ,HU482               ,PW2                 ,W210                ,2018/9/11 19:00,arrive,1,T2
4514,CA                  ,738,C                   ,CA1220              ,P4                  ,452,2018/9/11 19:05,arrive,36L                 ,T3C
4515,CA                  ,332,E                   ,CA1884              ,P9                  ,954,2018/9/11 19:05,arrive,1,T3C
4516,MU                  ,321,C                   ,MU536               ,PN12                ,N122                ,2018/9/11 19:05,arrive,1,T2
4517,CA                  ,738,C                   ,CA1616              ,P4                  ,462,2018/9/11 19:05,arrive,1,T3C
4518,MU                  ,320,C                   ,MU2113              ,PN1                 ,N105R               ,2018/9/11 19:05,arrive,36L                 ,T2
4519,HU                  ,788,E                   ,HU7523              ,PW1                 ,W107                ,2018/9/11 19:05,depart,36R                 ,T2
4520,HU                  ,789,E                   ,HU7835              ,PW2                 ,W203                ,2018/9/11 19:05,depart,36L                 ,T2
4521,SC                  ,738,C                   ,SC1186              ,P3                  ,358,2018/9/11 19:10,arrive,1,T3C
4522,CA                  ,321,C                   ,CA1314              ,P4                  ,461,2018/9/11 19:10,arrive,36L                 ,T3C
4523,HU                  ,738,C                   ,HU7280              ,P7                  ,721,2018/9/11 19:10,arrive,36L                 ,T2
4524,CA                  ,333,E                   ,CA1518              ,PM                  ,M01                 ,2018/9/11 19:10,arrive,1,T3C
4525,CA                  ,738,C                   ,CA1562              ,PN2                 ,N207L               ,2018/9/11 19:15,arrive,1,T3C
4526,CA                  ,320,C                   ,CA4165              ,P4                  ,456,2018/9/11 19:15,arrive,36L                 ,T3C
4527,CA                  ,738,C                   ,CA1392              ,P4                  ,453,2018/9/11 19:15,arrive,36L                 ,T3C
4528,CZ                  ,333,E                   ,CZ3115              ,P6                  ,608,2018/9/11 19:15,arrive,36L                 ,T2
4529,CA                  ,333,E                   ,CA1374              ,P5                  ,555,2018/9/11 19:15,arrive,1,T3C
4530,CZ                  ,738,C                   ,CZ3654              ,P7                  ,734,2018/9/11 19:15,depart,36L                 ,T2
4531,CZ                  ,738,C                   ,CZ3140              ,P7                  ,724,2018/9/11 19:20,depart,36L                 ,T2
4532,MU                  ,73G                 ,C                   ,MU9702              ,P8                  ,805,2018/9/11 19:20,depart,36L                 ,T2
4533,MU                  ,321,C                   ,MU5130              ,PN1                 ,N104R               ,2018/9/11 19:20,depart,36R                 ,T2
4534,MU                  ,333,E                   ,MU5119              ,PN1                 ,N107                ,2018/9/11 19:20,arrive,1,T2
4535,HU                  ,738,C                   ,HU7186              ,PW2                 ,W204                ,2018/9/11 19:25,arrive,36L                 ,T2
4536,MU                  ,320,C                   ,MU2416              ,P8                  ,803,2018/9/11 19:25,depart,36L                 ,T2
4537,CZ                  ,333,E                   ,CZ3110              ,P6                  ,608,2018/9/11 19:30,depart,36L                 ,T2
4538,MU                  ,321,C                   ,MU2950              ,PN1                 ,N105L               ,2018/9/11 19:35,depart,1,T2
4539,CZ                  ,788,E                   ,CZ6910              ,P6                  ,605,2018/9/11 19:35,depart,36L                 ,T2
4540,CA                  ,7M8                 ,C                   ,CA979               ,P5                  ,551,2018/9/11 19:35,depart,36R                 ,T3E
4541,ZH                  ,333,E                   ,ZH9109              ,P9                  ,956,2018/9/11 19:35,arrive,1,T3C
4542,MU                  ,738,C                   ,MU5709              ,PN12                ,N123                ,2018/9/11 19:35,arrive,36L                 ,T2
4543,CZ                  ,333,E                   ,CZ6184              ,P6                  ,611,2018/9/11 19:40,arrive,36L                 ,T2
4544,CZ                  ,321,C                   ,CZ3157              ,P7                  ,723,2018/9/11 19:40,arrive,36L                 ,T2
4545,3U                  ,332,E                   ,3U8547              ,PM                  ,M05                 ,2018/9/11 19:40,arrive,1,T3C
4546,MU                  ,321,C                   ,MU5194              ,P8                  ,809,2018/9/11 19:40,depart,36R                 ,T2
4547,CA                  ,738,C                   ,CA821               ,PN12                ,N125                ,2018/9/11 19:40,depart,36L                 ,T3E
4548,CA                  ,773,E                   ,CA1340              ,PM                  ,M02                 ,2018/9/11 19:45,arrive,1,T3C
4549,MU                  ,320,C                   ,MU5171              ,P6                  ,602,2018/9/11 19:50,arrive,36L                 ,T2
4550,FM                  ,738,C                   ,FM9103              ,PW1                 ,W110                ,2018/9/11 19:50,arrive,36L                 ,T2
4551,MU                  ,320,C                   ,MU2071              ,P8                  ,806,2018/9/11 19:50,depart,36R                 ,T2
4552,MU                  ,320,C                   ,MU5197              ,PN1                 ,N105R               ,2018/9/11 19:50,depart,36R                 ,T2
4553,CZ                  ,320,C                   ,CZ6267              ,P7                  ,732,2018/9/11 19:55,arrive,36R                 ,T2
4554,MU                  ,320,C                   ,MU5135              ,P8                  ,819,2018/9/11 19:55,arrive,36L                 ,T2
4555,CA                  ,738,C                   ,CA1878              ,PN12                ,N126                ,2018/9/11 19:55,arrive,36L                 ,T3C
4556,CZ                  ,738,C                   ,CZ3735              ,P7                  ,725,2018/9/11 19:55,arrive,36L                 ,T2
4557,HU                  ,738,C                   ,HU7116              ,PW1                 ,W112                ,2018/9/11 20:00,arrive,36L                 ,T2
4558,CA                  ,738,C                   ,CA1101              ,P3                  ,355,2018/9/11 20:00,depart,36R                 ,T3C
4559,CA                  ,738,C                   ,CA1601              ,P5                  ,562,2018/9/11 20:00,depart,1,T3C
4560,CA                  ,738,C                   ,CA1661              ,P4                  ,460,2018/9/11 20:00,depart,1,T3C
4561,CZ                  ,333,E                   ,CZ3190              ,P8                  ,807,2018/9/11 20:00,depart,36L                 ,T2
4562,BS                  ,GB5                 ,C                   ,B602L               ,P62                 ,626,2018/9/11 20:00,depart,36R                 ,T2
4563,MU                  ,321,C                   ,MU5165              ,PN12                ,N122                ,2018/9/11 20:05,depart,36R                 ,T2
4564,MF                  ,738,C                   ,MF8169              ,P7                  ,712,2018/9/11 20:05,arrive,36L                 ,T2
4565,JD                  ,320,C                   ,JD5760              ,PW2                 ,W202                ,2018/9/11 20:05,arrive,36L                 ,T1
